sample_id,image,caption,prompt,answer
16,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are fewer spoons than forks
Answer: ",Yes.
17,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more ladybugs than flowers
Answer: ",Yes.
17,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more flowers than ladybugs
Answer: ",No
17,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more ladybugs than flowers
Answer: ",No.
17,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more flowers than ladybugs
Answer: ",Yes.
18,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is less orange juice than milk
Answer: ",Yes.
18,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is less milk than orange juice
Answer: ",I'm unable to determine the quantities of milk and orange juice from the image.
18,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is less orange juice than milk
Answer: ",No.
18,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is less milk than orange juice
Answer: ",Yes.
19,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is more dirt than empty space in the jar
Answer: ",Yes.
19,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is more empty space than dirt in the jar
Answer: ",No
19,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is more dirt than empty space in the jar
Answer: ",No.
19,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is more empty space than dirt in the jar
Answer: ",Yes.
20,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a bit less milk chocolate than white chocolate
Answer: ",Yes.
20,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a bit less white chocolate than milk chocolate
Answer: ",No.
20,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a bit less milk chocolate than white chocolate
Answer: ",Yes.
20,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a bit less white chocolate than milk chocolate
Answer: ",Yes.
21,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person sits and a dog stands
Answer: ",Yes
21,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person stands and a dog sits
Answer: ",No
21,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person sits and a dog stands
Answer: ",No.
21,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person stands and a dog sits
Answer: ",Yes.
22,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: The person with more facial hair lies awake while the other sleeps
Answer: ",Yes.
22,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: The person with more facial hair sleeps while the other lies awake
Answer: ",Yes.
22,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: The person with more facial hair lies awake while the other sleeps
Answer: ",No.
22,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: The person with more facial hair sleeps while the other lies awake
Answer: ",Yes.
23,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person in the middle is floating and some others are standing
Answer: ",Yes.
23,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person in the middle is standing and some others are floating
Answer: ",No.
23,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person in the middle is floating and some others are standing
Answer: ",No.
23,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person in the middle is standing and some others are floating
Answer: ",Yes.
24,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person closer to the camera weightlifts and the person farther from the camera runs
Answer: ",Yes.
24,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person closer to the camera runs and the person farther from the camera weightlifts
Answer: ",No.
24,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person closer to the camera weightlifts and the person farther from the camera runs
Answer: ",No.
24,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person closer to the camera runs and the person farther from the camera weightlifts
Answer: ",Yes.
25,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the white collared shirt waters the plant while the other holds it
Answer: ",Yes.
25,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the white collared shirt holds the plant while the other waters it
Answer: ",Yes.
25,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the white collared shirt waters the plant while the other holds it
Answer: ",Yes.
25,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the white collared shirt holds the plant while the other waters it
Answer: ",Yes
26,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the taller person chops food and the shorter person eats food
Answer: ",Yes
26,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the taller person eats food and the shorter person chops food
Answer: ",No
26,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the taller person chops food and the shorter person eats food
Answer: ",No.
26,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the taller person eats food and the shorter person chops food
Answer: ",Yes.
27,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the ponytail packs stuff and other buys it
Answer: ",Yes.
27,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the ponytail buys stuff and other packs it
Answer: ","I'm sorry, I can't determine the answer based on the image alone."
27,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the ponytail packs stuff and other buys it
Answer: ",No
27,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with the ponytail buys stuff and other packs it
Answer: ",Yes.
28,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person walking in a field of yellow flowers with a red dress
Answer: ",Yes
28,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person walking in a field of red flowers with a yellow dress
Answer: ",No
28,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person walking in a field of yellow flowers with a red dress
Answer: ",No
28,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person walking in a field of red flowers with a yellow dress
Answer: ",Yes.
29,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a brown dog is on a white couch
Answer: ",Yes
29,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a white dog is on a brown couch
Answer: ",No
29,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a brown dog is on a white couch
Answer: ",No
29,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a white dog is on a brown couch
Answer: ",Yes.
30,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a blue bird is next to a red berry
Answer: ",Yes.
30,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a red bird is next to a blue berry
Answer: ",No.
30,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a blue bird is next to a red berry
Answer: ",No.
30,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a red bird is next to a blue berry
Answer: ",Yes.
33,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the square table has a round base
Answer: ",Yes.
33,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the round table has a square base
Answer: ",No
33,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the square table has a round base
Answer: ",No
33,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the round table has a square base
Answer: ",Yes.
34,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: pointy bushes are behind rectangular bushes
Answer: ",Yes.
34,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: rectangular bushes are behind pointy bushes
Answer: ",No.
34,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: pointy bushes are behind rectangular bushes
Answer: ",No
34,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: rectangular bushes are behind pointy bushes
Answer: ",Yes.
35,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a circular sign is above a rectangular sign
Answer: ",Yes.
35,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a rectangular sign is above a circular sign
Answer: ",Yes.
35,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a circular sign is above a rectangular sign
Answer: ",No
35,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a rectangular sign is above a circular sign
Answer: ",No
36,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a wood chess piece rests on metal objects
Answer: ",Yes.
36,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a metal chess piece rests on wood objects
Answer: ",No.
36,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a wood chess piece rests on metal objects
Answer: ",No
36,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a metal chess piece rests on wood objects
Answer: ",Yes
37,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: soft shoes are on a smooth floor
Answer: ",Yes.
37,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: smooth shoes are on a soft floor
Answer: ",Yes.
37,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: soft shoes are on a smooth floor
Answer: ",No
37,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: smooth shoes are on a soft floor
Answer: ",Yes
38,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the happy person is on the right and the sad person is on the left
Answer: ",Yes.
38,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sad person is on the right and the happy person is on the left
Answer: ",No.
38,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the happy person is on the right and the sad person is on the left
Answer: ",No
38,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sad person is on the right and the happy person is on the left
Answer: ",Yes.
39,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the hurt person is on the left and the helpful person is on the right
Answer: ",Yes.
39,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the helpful person is on the left and the hurt person is on the right
Answer: ",No
39,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the hurt person is on the left and the helpful person is on the right
Answer: ",Yes.
39,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the helpful person is on the left and the hurt person is on the right
Answer: ",Yes.
40,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the more content person has the healthier food and the less content person has the less healthy food
Answer: ",Yes.
40,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the less content person has the healthier food and the more content person has the less healthy food
Answer: ",Yes.
40,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the more content person has the healthier food and the less content person has the less healthy food
Answer: ",No
40,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the less content person has the healthier food and the more content person has the less healthy food
Answer: ",Yes.
41,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the orange lollipop is sad and the red lollipop is surprised
Answer: ",Yes.
41,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the orange lollipop is surprised and the red lollipop is sad
Answer: ",No
41,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the orange lollipop is sad and the red lollipop is surprised
Answer: ",No.
41,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the orange lollipop is surprised and the red lollipop is sad
Answer: ",Yes.
42,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the larger person wears yellow and the smaller person does not
Answer: ",Yes.
42,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the smaller person wears yellow and the larger person does not
Answer: ",No.
42,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the larger person wears yellow and the smaller person does not
Answer: ",Yes.
42,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the smaller person wears yellow and the larger person does not
Answer: ",Yes.
43,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a big cat is next to a small dog
Answer: ",Yes.
43,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a small cat is next to a big dog
Answer: ",No.
43,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a big cat is next to a small dog
Answer: ",No.
43,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a small cat is next to a big dog
Answer: ",Yes
44,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the heavy oncoming traffic is contrasted with the light outgoing traffic
Answer: ",Yes.
44,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the light oncoming traffic is contrasted with the heavy outgoing traffic
Answer: ",Yes.
44,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the heavy oncoming traffic is contrasted with the light outgoing traffic
Answer: ",Yes.
44,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the light oncoming traffic is contrasted with the heavy outgoing traffic
Answer: ",Yes.
45,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a cold drink on a hot day
Answer: ",Yes.
45,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a hot drink on a cold day
Answer: ",No.
45,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a cold drink on a hot day
Answer: ",No
45,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a hot drink on a cold day
Answer: ",Yes
46,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is drinking now and eating later
Answer: ",Yes.
46,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is drinking later and eating now
Answer: ",No.
46,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is drinking now and eating later
Answer: ",Yes.
46,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is drinking later and eating now
Answer: ",No
47,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sailboat sails close but the beach is far away
Answer: ",Yes.
47,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sailboat sails far away but the beach is close
Answer: ",Yes.
47,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sailboat sails close but the beach is far away
Answer: ",No
47,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sailboat sails far away but the beach is close
Answer: ",Yes.
48,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the passenger is riding inattentive to the road and the driver is driving attentive to the road
Answer: ",Yes
48,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the passenger is riding attentive to the road and the driver is driving inattentive to the road
Answer: ",No.
48,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the passenger is riding inattentive to the road and the driver is driving attentive to the road
Answer: ",No
48,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the passenger is riding attentive to the road and the driver is driving inattentive to the road
Answer: ",Yes.
49,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: it wears a hat but the person doesn't
Answer: ",Yes.
49,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person wears a hat but it doesn't
Answer: ",No
49,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: it wears a hat but the person doesn't
Answer: ",No
49,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person wears a hat but it doesn't
Answer: ",Yes.
50,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with green legs is running quite slowly and the red legged one runs faster
Answer: ",Yes.
50,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with green legs is running faster and the red legged one runs quite slowly
Answer: ",No.
50,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with green legs is running quite slowly and the red legged one runs faster
Answer: ",No.
50,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with green legs is running faster and the red legged one runs quite slowly
Answer: ",Yes.
51,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is in the water and close to the sand
Answer: ",Yes.
51,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is close to the water and in the sand
Answer: ",No
51,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is in the water and close to the sand
Answer: ",No.
51,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person is close to the water and in the sand
Answer: ",Yes.
52,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a frog is above rocks which are under the water
Answer: ",Yes.
